VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,trip_duration_minutes,Airport_fee,tip_segment
2,30:44.0,48:26.0,1,3,1,N,162,246,1,18.4,1,0.5,1.5,0,1,24.9,2.5,17.6999999990221,0,Low
1,12:20.0,25:25.0,1,2.2,1,N,48,236,1,14.2,3.5,0.5,3.8,0,1,23,2.5,13.0833333323244,0,Low
1,04:46.0,13:52.0,1,2.7,1,N,142,24,1,13.5,3.5,0.5,3.7,0,1,22.2,2.5,9.10000000032596,0,Low
1,12:10.0,23:01.0,1,3.1,1,N,233,75,1,14.2,3.5,0.5,2,0,1,21.2,2.5,10.8499999903142,0,Low
1,30:22.0,30:39.0,1,0,1,N,262,262,3,3,3.5,0.5,0,0,1,8,2.5,0.283333336701617,0,Low
2,31:20.0,36:00.0,2,0.97,1,N,137,137,1,7.2,1,0.5,2.44,0,1,14.64,2.5,4.66666666790843,0,Low
1,42:57.0,49:01.0,1,1.3,1,N,142,48,1,7.9,3.5,0.5,2.55,0,1,15.45,2.5,6.06666665989906,0,Low
1,59:55.0,02:24.0,1,0.5,1,N,230,161,1,5.1,3.5,0.5,2,0,1,12.1,2.5,2.48333333758637,0,Low
1,00:47.0,04:22.0,0,1.1,1,N,142,237,1,7.2,3.5,0.5,3,0,1,15.2,2.5,3.58333333279006,0,Low
1,17:36.0,26:22.0,1,2.2,1,N,162,145,1,11.4,3.5,0.5,3.3,0,1,19.7,2.5,8.76666667289101,0,Low
1,49:00.0,52:20.0,1,0.6,1,N,229,162,1,5.1,3.5,0.5,2,0,1,12.1,2.5,3.33333332673647,0,Low
2,07:26.0,13:20.0,1,0.9,1,N,162,162,1,7.9,1,0.5,3.87,0,1,16.77,2.5,5.90000000665896,0,Low
2,17:11.0,25:00.0,1,1.33,1,N,162,230,1,9.3,1,0.5,2,0,1,16.3,2.5,7.81666666036472,0,Low
2,00:34.0,05:13.0,1,1.79,1,N,211,234,1,9.3,1,0.5,2.86,0,1,17.16,2.5,4.65000000782311,0,Low
2,58:40.0,20:26.0,1,5.16,1,N,142,7,1,24.7,1,0.5,0,0,1,29.7,2.5,21.7666666628793,0,Low
1,55:29.0,42:35.0,1,11.3,99,N,161,197,1,39.5,0,0.5,0,6.94,1,47.94,0,47.0999999984633,0,Low
1,08:59.0,40:58.0,1,20.6,1,N,132,243,2,76.5,2.75,0.5,0,6.94,1,87.69,0,31.9833333289716,1.75,Low
2,18:38.0,36:47.0,2,7.42,1,N,239,247,4,-33.1,-1,-0.5,0,0,-1,-38.1,-2.5,18.1499999994412,0,Low
2,18:38.0,36:47.0,2,7.42,1,N,239,247,4,33.1,1,0.5,0,0,1,38.1,2.5,18.1499999994412,0,Low
2,39:33.0,53:59.0,1,4.49,1,N,247,60,2,21.9,1,0.5,0,0,1,24.4,0,14.4333333335817,0,Low
2,24:14.0,35:48.0,1,1.89,1,N,234,231,1,12.8,1,0.5,2.5,0,1,20.3,2.5,11.5666666673496,0,Low
2,00:05.0,11:18.0,1,4.1,1,N,233,74,1,17.7,1,0.5,4.54,0,1,27.24,2.5,11.216666669352,0,Low
1,32:23.0,42:38.0,1,1.3,1,N,262,236,1,10,3.5,0.5,1,0,1,16,2.5,10.2500000072178,0,Low
2,29:02.0,39:09.0,1,1.8,1,N,263,238,1,12.8,1,0.5,4.45,0,1,22.25,2.5,10.1166666741483,0,Low
2,40:10.0,46:36.0,1,1.07,1,N,238,24,1,8.6,1,0.5,2.72,0,1,16.32,2.5,6.43333332845941,0,Low
2,28:52.0,51:34.0,2,9.94,1,N,138,107,1,40.8,6,0.5,10.16,0,1,62.71,2.5,22.6999999943655,1.75,Medium
1,53:49.0,00:04.0,1,2.5,1,N,233,263,1,11.4,3.5,0.5,3.25,0,1,19.65,2.5,6.25000000465661,0,Low
